,Unnamed: 0,type_of_Vehicle,names,price,depreciation,reg_Date,mileage,road_Tax,dereg_Value,COE,engine_Cap,curb_Weight,transmission,OMV,ARF,fuel_Type,down_Payment,interest_Rate, loan_Term
0,0,Mid-Sized Sedan,Toyota Corolla Altis 1.6A Elegance,"$83,800","$13,060 /yr
View models with similar depre","01-Nov-2018
(5yrs 6mths 16days COE left)","57,000 km (12.8k /yr)",$742 /yr,"$32,747 as of today (change)","$28,457","1,598 cc","1,230 kg",Auto,"$21,858","$22,602",,"25,140",2.28%,60 months
1,1,MPV,Toyota Previa 2.4A (COE till 05/2029),"$74,800","$12,200 /yr","22-Mar-2010
(6yrs 1mth 16days COE left)",N.A.,"$2,129 /yr","$24,258 as of today (change)","$39,563","2,362 cc","1,845 kg",Auto,"$35,783","$35,783",,"22,440",3.25%,72 months
2,2,Sports Car,Porsche Cayman R 3.4A PDK (COE till 04/2031),"$208,000","$25,850 /yr","17-Feb-2012
(8yrs 15days COE left)","130,000 km (11.6k /yr)","$3,682 /yr","$38,073 as of today (change)","$47,316","3,436 cc","1,395 kg",Auto,"$93,744","$93,744",,"62,400",3.25%,84 months
3,3,SUV,Porsche Macan 2.0A PDK,"$256,888","$32,780 /yr
View models with similar depre","16-Oct-2019
(6yrs 6mths COE left)","50,000 km (14.3k /yr)","$1,194 /yr","$92,265 as of today (change)","$41,361","1,984 cc","1,795 kg",Auto,"$63,964","$87,136",,"102,755",2.28%,72 months
4,4,MPV,Toyota Alphard 2.4A (COE till 01/2029),"$86,800","$14,960 /yr","08-Oct-2009
(5yrs 9mths 16days COE left)","145,000 km (10.7k /yr)","$2,293 /yr","$18,183 as of today (change)","$31,335","2,362 cc","1,920 kg",Auto,"$44,006","$44,006",,"26,040",3.25%,60 months
5,5,Mid-Sized Sedan,Toyota Vios 1.5A E (COE till 02/2024),"$11,000","$12,830 /yr","23-Feb-2009
(10mths 7days COE left)",N.A.,"$1,026 /yr","$2,206 as of today (change)","$12,864","1,497 cc","1,095 kg",Auto,"$11,900","$11,900",,"3,300",3.25%,0 months
6,6,Mid-Sized Sedan,Mitsubishi Lancer EX 1.6A,"$44,800","$12,870 /yr
View models with similar depre","29-Mar-2016
(2yrs 11mths 13days COE left)",N.A.,$738 /yr,"$21,433 as of today (change)","$45,000","1,590 cc","1,284 kg",Auto,"$13,571","$13,571",,"13,440",2.28%,24 months
7,7,Luxury Sedan,Mercedes-Benz A-Class Saloon A200 AMG Line,"$155,800","$18,210 /yr
View models with similar depre","18-Dec-2020
(7yrs 8mths 2days COE left)","35,000 km (15.1k /yr)",$586 /yr,"$58,446 as of today (change)","$45,012","1,332 cc","1,385 kg",Auto,"$28,456","$31,839",,"62,320",2.28%,84 months
8,8,SUV,Audi Q2 1.4A TFSI CoD S-tronic,"$99,800","$15,210 /yr
View models with similar depre","13-Dec-2018
(5yrs 7mths 27days COE left)","63,000 km (14.5k /yr)",$624 /yr,"$37,993 as of today (change)","$31,001","1,395 cc","1,355 kg",Auto,"$25,170","$27,238",,"29,940",2.28%,60 months
9,9,Truck,Nissan Cabstar,"$49,800","$11,920 /yr
View models with similar depre","19-Jun-2017
(4yrs 2mths 3days COE left)",N.A.,N.A.,"$16,086 as of today (change)","$38,501","2,953 cc","1,800 kg",Manual,"$26,468","$1,324",['Diesel'],"4,980",3.4%,48 months
