Unnamed: 0,posted_date,model_name,prices,depreation,reg_date,eng_cap,mileage,vehicle_type,status
0,2023-03-28,Audi A3 Sportback 1.4A TFSI S-tronic Ambition (New 10-yr COE),109900.0,10980.0,2013-05-28,1395.0,70000.0,Hatchback,Available
1,2023-03-28,Toyota 86 2.0A (New 10-yr COE),158000.0,15790.0,2013-05-07,1998.0,93000.0,Sports,Available
2,2023-03-28,Porsche Boxster 2.7A PDK,150000.0,196420.0,2013-10-01,2706.0,100000.0,Sports,Available
3,2023-03-28,Toyota Corolla Altis 1.6A Elegance,102888.0,13610.0,2019-12-20,1598.0,166000.0,Sedan,Available
4,2023-03-28,BMW 218i Gran Coupe M-Sport,166800.0,16410.0,2021-09-15,1499.0,16832.0,Luxury,Available
5,2023-03-28,BMW 5 Series 520i,50800.0,19600.0,2014-06-26,1997.0,130000.0,Luxury,Available
6,2023-03-28,Land Rover Range Rover 5.0A Supercharged Vogue (New 10-yr COE),258800.0,25860.0,2013-04-23,4999.0,41000.0,SUV,Available
7,2023-03-28,Honda Odyssey 2.4A Absolute,100800.0,19370.0,2017-06-23,2356.0,,MPV,Available
8,2023-03-28,Volkswagen Scirocco 1.4A TSI (COE till 07/2024),18800.0,13980.0,2009-09-23,1390.0,205000.0,Sports,Available
9,2023-03-28,Hyundai Avante 1.6A (COE till 04/2024),,,2009-05-26,1591.0,,Sedan,SOLD
10,2023-03-28,Renault Megane RS 2.0T 275 Trophy-R,158000.0,52800.0,2015-10-27,1998.0,33000.0,Sports,Available
11,2023-03-28,Volkswagen Jetta Sport 1.4A TSI (COE till 05/2027),51800.0,12460.0,2012-05-25,1390.0,66000.0,Sedan,Available
12,2023-03-28,Honda Civic 1.8A VTi-S G (COE till 09/2028),68800.0,12470.0,2008-10-24,1799.0,203000.0,Sedan,Available
13,2023-03-28,BMW 3 Series 316i,35800.0,16370.0,2014-08-29,1598.0,97000.0,Luxury,Available
14,2023-03-28,Honda N-Van Turbo Style Fun Honda Sensing,86800.0,9010.0,2022-11-11,658.0,9450.0,Van,Available
15,2023-03-28,Toyota Camry 2.5A,,,2016-08-25,2494.0,,Luxury,SOLD
16,2023-03-28,Mercedes-Benz CLA-Class CLA180,40888.0,27980.0,2014-05-02,1595.0,120000.0,Luxury,Available
17,2023-03-28,Tesla Model 3 Electric Standard Range Plus,205800.0,19790.0,2022-11-14,,6000.0,Luxury,Available
18,2023-03-28,Isuzu FRR90,136498.0,15980.0,2021-10-11,5193.0,21500.0,Truck,Available
19,2023-03-28,Nissan Cabstar,18000.0,14670.0,2014-06-19,2953.0,146000.0,Truck,Available
20,2023-03-28,Volkswagen Scirocco 1.4A TSI (COE till 12/2024),28888.0,16760.0,2009-12-17,1390.0,160000.0,Sports,Available
21,2023-03-28,Toyota Estima 2.4A Aeras Premium,105800.0,21860.0,2017-02-14,2362.0,55000.0,MPV,Available
22,2023-03-28,Hyundai Avante 1.6A (COE till 12/2024),22000.0,12470.0,2010-01-06,1591.0,115000.0,Sedan,Available
23,2023-03-28,Audi A3 Sedan 1.4A TFSI Ambiente,54800.0,15540.0,2016-04-29,1395.0,130000.0,Luxury,Available
24,2023-03-28,Kia Sorento Diesel 2.2A CRDi,68800.0,17160.0,2016-03-31,2199.0,130000.0,SUV,Available
25,2023-03-28,BMW Z4 sDrive20i M-Sport,258888.0,24250.0,2022-06-27,1998.0,7600.0,Sports,Available
26,2023-03-28,Audi A5 Coupe 2.0A TFSI Quattro (COE till 04/2029),88000.0,14440.0,2009-08-12,1984.0,166000.0,Sports,Available
27,2023-03-28,Toyota Vellfire 2.5A Elegance Moonroof,224000.0,33310.0,2019-01-25,2494.0,137000.0,MPV,Available
28,2023-03-28,Nissan Cabstar,70900.0,8720.0,2021-05-14,1998.0,75288.0,Truck,Available
