Posted Date,Last Updated Date,type_of_Vehicle,Brand Name,Model Name,Other Name,price,depreciation,reg_Date,mileage,road_Tax,dereg_Value,COE,engine_Cap,curb_Weight,transmission,OMV,ARF,fuel_Type,Vehicle ID,Vehicle DL,Vehicle Link,Unnamed: 0,dealers_names,dealers_links
24-Apr-2023,24-Apr-2023,Luxury Sedan,Mercedes-Benz,E200,E-Class  Exclusive,"$248,800","$26,690 /yr
View models with similar depre","12-Apr-2021
(7yrs 11mths 18days COE left)","43,000 km (21.2k /yr)","$1,202 /yr","$86,851 as of today (change)","$41,101","1,991 cc","1,685 kg",Auto,"$55,625","$72,125",,ID=1190968,DL=1000,https://www.sgcarmart.com/used_cars/info.php?ID=1190968&DL=1000,1275,Direct Owner,https://www.sgcarmart.com/used_cars/listing.php?CAT=3
23-Apr-2023,23-Apr-2023,Sports Car,Volkswagen,Golf,Cabriolet 1.4A TSI,"$38,800","$21,950 /yr
View models with similar depre","31-Mar-2014
(11mths 6days COE left)","101,000 km (11.1k /yr)",$620 /yr,"$25,825 as of today (change)","$82,000","1,390 cc","1,503 kg",Auto,"$35,422","$36,591",,ID=1190950,DL=1000,https://www.sgcarmart.com/used_cars/info.php?ID=1190950&DL=1000,1275,Direct Owner,https://www.sgcarmart.com/used_cars/listing.php?CAT=3
23-Apr-2023,23-Apr-2023,Van,Peugeot,Partner,1.6A HDi,"$41,000","$8,260 /yr
View models with similar depre","09-Apr-2018
(4yrs 11mths 15days COE left)","131,000 km (26k /yr)",N.A.,"$17,366 as of today (change)","$35,001","1,560 cc","1,460 kg",Auto,"$20,654","$1,033",Diesel,ID=1190937,DL=1000,https://www.sgcarmart.com/used_cars/info.php?ID=1190937&DL=1000,1275,Direct Owner,https://www.sgcarmart.com/used_cars/listing.php?CAT=3
24-Apr-2023,24-Apr-2023,Mid-Sized Sedan,Mazda,3,1.6A (COE till 03/2024),"$13,800","$14,730 /yr","25-Jun-2009
(11mths 7days COE left)","149,000 km (10.8k /yr)","$1,039 /yr","$2,392 as of today (change)","$12,763","1,598 cc","1,275 kg",Auto,"$20,080","$20,080",,ID=1190961,DL=3989,https://www.sgcarmart.com/used_cars/info.php?ID=1190961&DL=3989,291,Gears & Gasoline Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3989
24-Apr-2023,24-Apr-2023,SUV,Hyundai,Tucson,2.0A GLS Sunroof,"$59,800","$15,100 /yr
View models with similar depre","15-Jul-2016
(3yrs 2mths 20days COE left)","106,000 km (15.6k /yr)","$1,212 /yr","$29,592 as of today (change)","$47,000","1,999 cc","1,540 kg",Auto,"$21,578","$22,210",,ID=1190958,DL=3989,https://www.sgcarmart.com/used_cars/info.php?ID=1190958&DL=3989,291,Gears & Gasoline Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3989
24-Apr-2023,24-Apr-2023,Hatchback,Volkswagen,Golf,1.4A TSI (COE till 12/2030),"$75,800","$9,850 /yr","14-Feb-2011
(7yrs 8mths 7days COE left)",N.A.,$806 /yr,"$28,698 as of today (change)","$37,303","1,390 cc","1,241 kg",Auto,"$22,301","$22,301",,ID=1190960,DL=3989,https://www.sgcarmart.com/used_cars/info.php?ID=1190960&DL=3989,291,Gears & Gasoline Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3989
24-Apr-2023,24-Apr-2023,Hatchback,Suzuki,Swift,1.6M (COE till 02/2029),"$65,888","$11,380 /yr","06-Feb-2009
(5yrs 9mths 12days COE left)","137,000 km (9.6k /yr)","$1,104 /yr","$14,901 as of today (change)","$25,727","1,586 cc","1,090 kg",Manual,"$15,127","$15,127",,ID=1190930,DL=4354,https://www.sgcarmart.com/used_cars/info.php?ID=1190930&DL=4354,340,The Car Battalion Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=4354
24-Apr-2023,24-Apr-2023,Mid-Sized Sedan,Toyota,Vios,1.5A G,"$35,800","$16,500 /yr
View models with similar depre","25-Feb-2015
(1yr 10mths COE left)","103,000 km (12.6k /yr)",$684 /yr,"$17,377 as of today (change)","$62,002","1,497 cc","1,060 kg",Auto,"$15,839","$10,839",,ID=1190939,DL=3426,https://www.sgcarmart.com/used_cars/info.php?ID=1190939&DL=3426,46,SG Car Choice Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3426
24-Apr-2023,24-Apr-2023,SUV,Nissan,Qashqai,1.2A DIG-T,"$54,800","$13,970 /yr
View models with similar depre","29-Sep-2016
(3yrs 5mths 4days COE left)","33,200 km (5.1k /yr)",$508 /yr,"$26,062 as of today (change)","$50,000","1,197 cc","1,285 kg",Auto,"$18,689","$13,689",,ID=1190782,DL=2795,https://www.sgcarmart.com/used_cars/info.php?ID=1190782&DL=2795,758,Gen Y Automobile,https://www.sgcarmart.com/used_cars/listing.php?DL=2795
24-Apr-2023,24-Apr-2023,Sports Car,Mercedes-Benz,"E200, Coupe",E-Class,"$48,800","$38,850 /yr
View models with similar depre","03-Dec-2013
(7mths 8days COE left)",N.A.,"$1,202 /yr","$30,315 as of today (change)","$84,578","1,991 cc","1,615 kg",Auto,"$45,243","$50,341",,ID=1190965,DL=3175,https://www.sgcarmart.com/used_cars/info.php?ID=1190965&DL=3175,936,Monster Motors Alliance Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3175
