Posted Date,Last Updated Date,type_of_Vehicle,Brand Name,Model Name,Other Name,price,depreciation,reg_Date,mileage,road_Tax,dereg_Value,COE,engine_Cap,curb_Weight,transmission,OMV,ARF,fuel_Type,Vehicle ID,Vehicle DL,Vehicle Link,Unnamed: 0,dealers_names,dealers_links
24-Apr-2023,24-Apr-2023,Sports Car,Volkswagen,Scirocco,1.4A TSI (COE till 04/2025),"$24,000","$11,920 /yr","29-Apr-2010
(2yrs 4days COE left)",N.A.,$806 /yr,"$6,620 as of today (change)","$16,438","1,390 cc","1,285 kg",Auto,"$24,029","$24,029",,ID=1191066,DL=3321,https://www.sgcarmart.com/used_cars/info.php?ID=1191066&DL=3321,180,AMS Motors Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3321
24-Apr-2023,24-Apr-2023,Mid-Sized Sedan,Toyota,Vios,1.5A E (COE till 08/2028),"$54,800","$10,260 /yr","25-Aug-2008
(5yrs 4mths COE left)","123,782 km (8.4k /yr)","$1,026 /yr","$18,260 as of today (change)","$34,197","1,497 cc","1,095 kg",Auto,"$11,834","$7,361",,ID=1191045,DL=1154,https://www.sgcarmart.com/used_cars/info.php?ID=1191045&DL=1154,630,Choon Bee Motor & Credit,https://www.sgcarmart.com/used_cars/listing.php?DL=1154
24-Apr-2023,24-Apr-2023,Sports Car,Mercedes-Benz,"CLA45, AMG",CLA-Class   4MATIC,"$220,899","$85,080 /yr
View models with similar depre","10-Jul-2015
(2yrs 2mths 15days COE left)","108,000 km (13.9k /yr)","$1,202 /yr","$56,509 as of today (change)","$77,600","1,991 cc","1,585 kg",Auto,"$51,992","$65,586",,ID=1191048,DL=3573,https://www.sgcarmart.com/used_cars/info.php?ID=1191048&DL=3573,921,Meyer Motors Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3573
24-Apr-2023,24-Apr-2023,SUV,Mercedes-Benz,GLC250,GLC-Class  4MATIC,"$122,800","$26,480 /yr
View models with similar depre","08-Dec-2016
(3yrs 7mths 13days COE left)","32,000 km (5k /yr)","$1,202 /yr","$55,323 as of today (change)","$56,500","1,991 cc","1,735 kg",Auto,"$44,004","$53,606",,ID=1191046,DL=1043,https://www.sgcarmart.com/used_cars/info.php?ID=1191046&DL=1043,793,Hin Lung Auto Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=1043
24-Apr-2023,24-Apr-2023,SUV,Honda,Vezel,1.5A X  Sensing,"$53,800","$14,850 /yr
View models with similar depre","10-Aug-2016
(3yrs 3mths 16days COE left)","88,208 km (13.2k /yr)",$682 /yr,"$23,631 as of today (change)","$52,503","1,496 cc","1,190 kg",Auto,"$19,733","$9,733",,ID=1191044,DL=1277,https://www.sgcarmart.com/used_cars/info.php?ID=1191044&DL=1277,13,Creative Auto,https://www.sgcarmart.com/used_cars/listing.php?DL=1277
24-Apr-2023,24-Apr-2023,SUV,Mitsubishi,Outlander,2.4A Sunroof,"$89,800","$17,030 /yr
View models with similar depre","01-Dec-2017
(4yrs 7mths 6days COE left)",N.A.,"$1,636 /yr","$38,832 as of today (change)","$49,802","2,360 cc","1,535 kg",Auto,"$21,934","$22,708",,ID=1191036,DL=4415,https://www.sgcarmart.com/used_cars/info.php?ID=1191036&DL=4415,957,New Era Automotive Trading LLP,https://www.sgcarmart.com/used_cars/listing.php?DL=4415
24-Apr-2023,24-Apr-2023,Mid-Sized Sedan,Kia,Cerato,1.6A GT Line Sunroof,"$97,822","$13,460 /yr
View models with similar depre","15-Nov-2019
(6yrs 6mths 21days COE left)","56,000 km (16.3k /yr)",$738 /yr,"$36,486 as of today (change)","$34,001","1,591 cc","1,287 kg",Auto,"$18,888","$18,888",,ID=1191032,DL=2391,https://www.sgcarmart.com/used_cars/info.php?ID=1191032&DL=2391,161,D2 Motors,https://www.sgcarmart.com/used_cars/listing.php?DL=2391
24-Apr-2023,24-Apr-2023,Luxury Sedan,Mercedes-Benz,C180,C-Class  Avantgarde,"$105,800","$19,790 /yr
View models with similar depre","17-Jul-2017
(4yrs 2mths 22days COE left)","52,000 km (9k /yr)",$740 /yr,"$50,988 as of today (change)","$47,501","1,595 cc","1,425 kg",Auto,"$37,239","$44,135",,ID=1191030,DL=3281,https://www.sgcarmart.com/used_cars/info.php?ID=1191030&DL=3281,403,833 Motor,https://www.sgcarmart.com/used_cars/listing.php?DL=3281
24-Apr-2023,24-Apr-2023,Sports Car,Audi,S5,Coupe 4.2M FSI Quattro (COE till 06/2030),"$115,000","$16,090 /yr","16-Jun-2010
(7yrs 1mth 22days COE left)",N.A.,"$5,468 /yr","$23,994 as of today (change)","$33,568","4,163 cc","1,675 kg",Auto,"$53,225","$53,225",,ID=1191035,DL=3837,https://www.sgcarmart.com/used_cars/info.php?ID=1191035&DL=3837,1240,Warehouse Exotics Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3837
24-Apr-2023,24-Apr-2023,Mid-Sized Sedan,Kia,Cerato,Forte 1.6A SX (COE till 08/2029),"$63,800","$10,050 /yr","27-Aug-2009
(6yrs 4mths 2days COE left)",N.A.,"$1,033 /yr","$18,609 as of today (change)","$29,328","1,591 cc","1,251 kg",Auto,"$14,195","$14,195",,ID=1190826,DL=1068,https://www.sgcarmart.com/used_cars/info.php?ID=1190826&DL=1068,5,Car Design Motor,https://www.sgcarmart.com/used_cars/listing.php?DL=1068
